Team,Opponent,Result,Turnovers,TotalRebounds,OffensiveRebounds,DefensiveReboundsThreePointersAttempted,ThreePointersMade,ThreePointerPercentage,FreeThrowsAttempted,FreeThrowsMade,FreeThrowPercentageFieldGoalsAttempted,FieldGoalsMade,FieldGoalPercentage,Assists,Steals,Blocks,PersonalFouls
DEN,SEA,W,14,51,8,43,31,16,0.516,35,30,0.857,101,61,0.604,44,12,10,19
CHI,MIL,W,10,35,6,29,24,11,0.458,18,14,0.778,94,63,0.67,42,11,3,27
SEA,DEN,W,15,52,12,40,11,4,0.364,28,25,0.893,116,61,0.526,35,6,2,27
DEN,SEA,L,14,44,8,36,30,12,0.4,39,27,0.692,107,54,0.505,33,9,8,26
GSW,SAC,W,16,48,17,31,24,10,0.417,52,40,0.769,86,45,0.523,28,12,8,25
DEN,SEA,W,17,49,7,42,17,9,0.529,16,11,0.688,88,59,0.67,35,13,7,16
DEN,TOR,W,10,41,5,36,27,10,0.37,38,33,0.868,85,47,0.553,34,9,7,25
PHX,DEN,W,10,42,12,30,31,20,0.645,18,17,0.944,93,50,0.538,32,1,13,32
DET,DEN,W,18,40,14,26,20,12,0.6,18,14,0.778,91,55,0.604,42,6,2,22
PHX,TOR,W,12,38,9,29,28,13,0.464,19,17,0.895,90,53,0.589,38,5,4,10
MIL,CHI,L,14,36,12,24,18,9,0.5,36,26,0.722,87,50,0.575,33,7,3,16
GSW,ATL,W,11,39,10,29,32,17,0.531,10,8,0.8,101,55,0.545,28,10,5,28
CHI,DEN,W,12,44,16,28,22,11,0.5,20,12,0.6,98,56,0.571,34,7,5,25
GSW,MIA,W,9,51,14,37,30,13,0.433,20,15,0.75,98,53,0.541,26,12,3,21
LAL,IND,W,13,48,4,44,25,13,0.52,46,37,0.804,72,42,0.583,29,5,5,28
UTA,GSW,W,18,38,12,26,16,12,0.75,28,19,0.679,81,51,0.63,36,9,3,21
IND,NYK,W,19,48,10,38,19,11,0.579,39,33,0.846,87,44,0.506,30,6,9,19
SAC,GSW,L,15,31,8,23,12,6,0.5,40,34,0.85,87,46,0.529,21,8,2,29
PHX,DEN,W,11,50,14,36,24,11,0.458,36,33,0.917,91,44,0.484,23,9,1,23
PHX,MEM,W,11,45,8,37,15,4,0.267,19,16,0.842,94,56,0.596,35,3,8,26
UTA,DEN,W,13,43,9,34,15,11,0.733,30,21,0.7,83,50,0.602,36,8,5,27
NOH,PHX,W,10,45,15,30,21,8,0.381,18,16,0.889,114,54,0.474,13,14,2,23
CLE,MEM,W,15,47,13,34,26,12,0.462,36,24,0.667,90,48,0.533,20,12,3,19
MIN,IND,W,12,50,12,38,18,9,0.5,29,24,0.828,91,49,0.538,24,7,6,23
MEM,NYK,W,14,42,3,39,33,15,0.455,26,19,0.731,80,48,0.6,21,3,1,22
LAL,SEA,W,11,39,9,30,23,12,0.522,19,16,0.842,84,51,0.607,36,8,0,18
LAL,PHX,W,9,33,7,26,13,4,0.308,26,22,0.846,92,52,0.565,18,6,6,24
PHX,NOH,L,21,47,8,39,26,13,0.5,14,11,0.786,96,53,0.552,26,1,6,20
GSW,SAS,W,11,44,10,34,31,14,0.452,25,22,0.88,91,47,0.516,25,6,4,25
UTA,WAS,W,11,40,14,26,26,15,0.577,17,14,0.824,84,50,0.595,40,11,3,24
PHX,IND,W,14,49,10,39,31,14,0.452,42,33,0.786,92,41,0.446,26,7,5,20
GSW,PHX,W,11,39,12,27,28,13,0.464,17,12,0.706,101,52,0.515,31,12,3,21
UTA,CHA,W,15,49,20,29,15,7,0.467,39,31,0.795,84,45,0.536,31,12,8,25
